,Annualized Return,Sharpe Ratio,Information Ratio,Max Drawdown
CNN_Signal,0.051286114082158774,0.5130397636577559,-1.7974391585393998,-0.09452350868165502
RNN_Signal,0.03537306408987706,0.3537518421905023,-2.1121887124829812,-0.10509342249292337
GRU_Signal,0.012009306122173324,0.12006929310965674,-2.5606143702804967,-0.10646954391259247
LSTM_Signal,0.026439927543287167,0.2643827641478012,-2.312357069434945,-0.11104344388174377
