Date,Cumulative_Strategy_Return,Cumulative_SP500_Return
2019-04-21,1.0002036826526002,0.9997963173473997
2019-04-28,0.9978076389868211,1.0021913851468867
2019-05-05,0.9974015173701323,1.002599291009364
2019-05-12,1.0017679801961006,0.9982100731695139
2019-05-19,1.0032140691027542,0.9967691202324499
2019-05-26,1.0055492564090875,0.9944489348716191
2019-06-02,1.0121819826343685,0.987889427728647
2019-06-09,1.003383637463183,0.996476610987432
2019-06-16,1.0024287262655667,0.9974249488299749
2019-06-23,0.9980486590441293,1.001783152271021
2019-06-30,0.9974734656514447,1.0012058066227227
2019-07-07,0.9933671407025159,1.0053274965967636
2019-07-14,0.9949202113072871,1.0068992665085692
2019-07-21,0.9973784382052637,1.0044114420254058
2019-07-28,1.0006677155682346,1.0077239136939413
2019-08-04,1.0069442696108604,1.0014031005949051
2019-08-11,1.0077192601485174,1.000632374795312
2019-08-18,1.0057868588879784,0.9987135633377383
2019-08-25,1.0086059738715523,0.9959142740590766
2019-09-01,1.0030273003360208,1.0014227488731062
2019-09-08,0.9985479314937664,1.005894952030213
2019-09-15,0.996628180352903,1.007828828132545
2019-09-22,0.9976420988558825,1.0068035146637666
2019-09-29,0.9996573367727876,1.004769770678874
2019-10-06,0.9990725053415692,1.0041819483107333
2019-10-13,1.0003553247426762,1.0054713282893104
2019-10-20,0.9992724397568779,1.0065597513507214
2019-10-27,1.0016993218363048,1.0090043317526585
2019-11-03,1.0046326489104034,1.0119590504588538
2019-11-10,1.002922430937761,1.0136817403968625
2019-11-17,1.0046968502793514,1.015475195634169
2019-11-24,1.0053505949356092,1.0148144376328638
2019-12-01,1.0028708810060623,1.0173174942875074
2019-12-08,1.0032099370384877,1.0176614345093873
2019-12-15,1.001746010941543,1.0191464488387214
2019-12-22,1.0050427270955118,1.0225004293132616
2019-12-29,1.0035771620337057,1.0239914514006647
2020-01-05,1.003957484828978,1.023603392259958
2020-01-12,1.0020634849951444,1.0255344547642453
2020-01-19,0.9981432934685877,1.0295464675158907
2020-01-26,1.0007045506042316,1.0269046291609598
2020-02-02,1.004930618554237,1.0225679158539314
2020-02-09,0.9986175553398018,1.0289917781332263
2020-02-16,0.9954837727366667,1.0322208787191716
2020-02-23,0.9986065504672653,1.028982858711812
2020-03-01,1.0225678641692493,1.0042926731126678
2020-03-08,1.0206949299711015,1.0061321344905687
2020-03-15,1.0048367464994636,0.9905002081265241
2020-03-22,1.0350558389744964,0.9607122674583625
2020-03-29,1.0133619599527024,0.9808479692439245
2020-04-05,1.0172019776822194,0.977131159514819
2020-04-12,1.0470243380435775,1.00577872233785
2020-04-19,1.053525893069501,1.012024160451926
2020-04-26,1.0509453949983512,1.0095453163996033
2020-05-03,1.0512009586435211,1.0092998202184968
2020-05-10,1.0584935902413903,1.016301765660163
2020-05-17,1.0537560316343488,1.011753047347984
2020-05-24,1.0469597251278455,1.0182784513430634
2020-05-31,1.0547650461070472,1.0258699469547656
2020-06-07,1.0649865622274848,1.0358114464754145
2020-06-14,1.0549855081904216,1.0260843695189292
2020-06-21,1.0510569445564726,1.0299053108571377
2020-06-28,1.0570101497171003,1.0240719089246288
2020-07-05,1.0674901246704018,1.0342253099669765
2020-07-12,1.0712718687460014,1.0378892084409885
2020-07-19,1.0739647015626343,1.0404981279898522
2020-07-26,1.074539745592116,1.039941003314044
2020-08-02,1.0782512878336188,1.0435330388607087
2020-08-09,1.0834880140388123,1.0486011494878396
2020-08-16,1.0849075087308337,1.049974938349792
2020-08-23,1.0864716363891973,1.051488703190062
2020-08-30,1.093477489061469,1.058268976778786
2020-09-06,1.098411898197176,1.053493449015947
2020-09-13,1.0916393430222722,1.0469978506693063
2020-09-20,1.0930044829117647,1.0456885368017752
2020-09-27,1.0917343188093835,1.0444733578501038
2020-10-04,1.0884008391897073,1.0476625318017712
2020-10-11,1.0967161355339141,1.0556665906989873
2020-10-18,1.097175202585942,1.0561084750973422
2020-10-25,1.0960487238342376,1.055024159890538
2020-11-01,1.10856236323464,1.0429788998500917
2020-11-08,1.0927460562830826,1.0578595010423362
2020-11-15,1.0974631684917113,1.062426016692234
2020-11-22,1.0991211773293947,1.0608209407538025
2020-11-29,1.0929083509505635,1.0668172735148047
2020-12-06,1.0965540578462643,1.0703759461950189
2020-12-13,1.0986699239437923,1.0683105923166958
2020-12-20,1.0959053800160476,1.070998744141525
2020-12-27,1.096370310108074,1.0705443805132833
2021-01-03,1.092457490229376,1.074365030611595
2021-01-10,1.096472681586024,1.07831372538771
2021-01-17,1.099719731900875,1.0751204502789642
2021-01-24,1.0943921076056593,1.0803289026373564
2021-01-31,1.1016373615144268,1.0731767520048812
2021-02-07,1.0915662858273263,1.082987643204341
2021-02-14,1.08887794871551,1.0856548526177006
2021-02-21,1.0908271509552423,1.0837114200476914
2021-02-28,1.0961403364109277,1.0784328937934493
2021-03-07,1.0980525409974162,1.0803142079438657
2021-03-14,1.092290705716261,1.0859829644793315
2021-03-21,1.0939426039511804,1.0843406055974079
2021-03-28,1.097399111714321,1.0877667741254444
2021-04-04,1.1005326951507446,1.0908728527705844
2021-04-11,1.106449268010873,1.0967374933605394
2021-04-18,1.1034145672678473,1.0997455572476336
2021-04-25,1.1031751736806423,1.099506959678078
2021-05-02,1.1031112038277315,1.0995707168221498
2021-05-09,1.1058275081617996,1.1022783030504053
2021-05-16,1.102848881594836,1.0993092365247308
2021-05-23,1.103779663008728,1.0983814424973233
2021-05-30,1.1012195517312806,1.100929033118998
2021-06-06,1.10291542810229,1.102624462091803
