Index,Set,Model,MAE,MSE,RMSE,MAPE (%)
0,Full,CNN,6.9599547948873335,106.00020934905162,10.295640307870688,30.8362091995088
1,Full,RNN,9.399641683811202,178.6532365775857,13.366122720429649,42.41541146768878
2,Full,GRU,5.968275894552527,80.713243672355,8.984054968239843,27.13181523941508
3,Full,LSTM,6.31874825318478,84.19956064747387,9.176031857370258,29.72376872106762
