Date,Cumulative_Strategy_Return,Cumulative_SP500_Return
2019-04-21,1.0002036826526002,0.9997963173473997
2019-04-28,0.9978076389868211,1.0021913851468867
2019-05-05,0.9974015173701323,1.002599291009364
2019-05-12,1.0017679801961006,0.9982100731695139
2019-05-19,1.0032140691027542,0.9967691202324499
2019-05-26,1.0055492564090875,0.9944489348716191
2019-06-02,1.0121819826343685,0.987889427728647
2019-06-09,1.003383637463183,0.996476610987432
2019-06-16,1.0024287262655667,0.9974249488299749
2019-06-23,1.0068087934870042,1.001783152271021
2019-06-30,1.006228551471284,1.0012058066227227
2019-07-07,1.002086184232941,1.0053274965967636
2019-07-14,1.0005194819207637,1.0068992665085692
2019-07-21,1.0029915433729835,1.0044114420254058
2019-07-28,0.9996837544209738,1.0077239136939413
2019-08-04,0.9934133721426815,1.0014031005949051
2019-08-11,0.9926487956049055,1.000632374795312
2019-08-18,0.990745293449338,0.9987135633377383
2019-08-25,0.9879683383947091,0.9959142740590766
2019-09-01,0.9934328636564317,1.0014227488731062
2019-09-08,0.9978693851896376,1.005894952030213
2019-09-15,0.9959509385830889,1.007828828132545
2019-09-22,0.9949377090712246,1.0068035146637666
2019-09-29,0.9929279340240625,1.004769770678874
2019-10-06,0.9923470395081211,1.0041819483107333
2019-10-13,0.9936212233417326,1.0054713282893104
2019-10-20,0.9925456280230351,1.0065597513507214
2019-10-27,0.9901350830086558,1.0090043317526585
2019-11-03,0.9872356200833141,1.0119590504588538
2019-11-10,0.9855550176237678,1.0136817403968625
2019-11-17,0.9838113255579337,1.015475195634169
2019-11-24,0.9844514802440667,1.0148144376328638
2019-12-01,0.9820233143277968,1.0173174942875074
2019-12-08,0.9816913065539035,1.0176614345093873
2019-12-15,0.9802587813468163,1.0191464488387214
2019-12-22,0.9770327790226361,1.0225004293132616
2019-12-29,0.9756080583947748,1.0239914514006647
2020-01-05,0.9759777818180411,1.023603392259958
2020-01-12,0.9741365666425762,1.0255344547642453
2020-01-19,0.9703256285419031,1.0295464675158907
2020-01-26,0.9678357521321093,1.0269046291609598
2020-02-02,0.963748492160637,1.0225679158539314
2020-02-09,0.969802845607027,1.0289917781332263
2020-02-16,0.9667594870462013,1.0322208787191716
2020-02-23,0.9637268158167211,1.028982858711812
2020-03-01,0.9406024325989331,1.0042926731126678
2020-03-08,0.9423252390009382,1.0061321344905687
2020-03-15,0.9276846582639938,0.9905002081265241
2020-03-22,0.8997858094475969,0.9607122674583625
2020-03-29,0.9186445451415309,0.9808479692439245
2020-04-05,0.915163448080583,0.977131159514819
2020-04-12,0.941994239542855,1.00577872233785
2020-04-19,0.9478436044142912,1.012024160451926
2020-04-26,0.9455219637132576,1.0095453163996033
2020-05-03,0.9452920364108639,1.0092998202184968
2020-05-10,0.951849932422336,1.016301765660163
2020-05-17,0.9475896847632727,1.011753047347984
2020-05-24,0.9537012606373045,1.0182784513430634
2020-05-31,0.960811318721568,1.0258699469547656
2020-06-07,0.9701223481486984,1.0358114464754145
2020-06-14,0.9610121430338986,1.0260843695189292
2020-06-21,0.9645907678847576,1.0299053108571377
2020-06-28,0.9591273086811379,1.0240719089246288
2020-07-05,0.9686368012576245,1.0342253099669765
2020-07-12,0.9720683425898639,1.0378892084409885
2020-07-19,0.9745118096585922,1.0404981279898522
2020-07-26,0.9739900167197849,1.039941003314044
2020-08-02,0.9773542525283595,1.0435330388607087
2020-08-09,0.9821009536765267,1.0486011494878396
2020-08-16,0.9833876195858029,1.049974938349792
2020-08-23,0.9848053844757204,1.051488703190062
2020-08-30,0.9911556666215353,1.058268976778786
2020-09-06,0.9866829933153086,1.053493449015947
2020-09-13,0.9805993328748719,1.0469978506693063
2020-09-20,0.9793730530843221,1.0456885368017752
2020-09-27,0.9782349383608097,1.0444733578501038
2020-10-04,0.9812218612541354,1.0476625318017712
2020-10-11,0.9887183186822799,1.0556665906989873
2020-10-18,0.9891321796524409,1.0561084750973422
2020-10-25,0.9881166295558115,1.055024159890538
2020-11-01,0.9768352559098051,1.0429788998500917
2020-11-08,0.9907721590205076,1.0578595010423362
2020-11-15,0.9950490753455887,1.062426016692234
2020-11-22,0.9935457901254394,1.0608209407538025
2020-11-29,0.9991618474090104,1.0668172735148047
2020-12-06,1.002494836157657,1.0703759461950189
2020-12-13,1.0005604629075693,1.0683105923166958
2020-12-20,1.003078137499173,1.070998744141525
2020-12-27,1.0026525887070226,1.0705443805132833
2021-01-03,1.006230940787839,1.074365030611595
2021-01-10,1.009929217208091,1.07831372538771
2021-01-17,1.0069384532448982,1.0751204502789642
2021-01-24,1.0118165959313277,1.0803289026373564
2021-01-31,1.0051180204429992,1.0731767520048812
2021-02-07,1.0143067244684643,1.082987643204341
2021-02-14,1.016804784774611,1.0856548526177006
2021-02-21,1.014984600826363,1.0837114200476914
2021-02-28,1.0100408281909528,1.0784328937934493
2021-03-07,1.011802833146022,1.0803142079438657
2021-03-14,1.0171120884356621,1.0859829644793315
2021-03-21,1.0155738846820195,1.0843406055974079
2021-03-28,1.0187827724278367,1.0877667741254444
2021-04-04,1.0216918697534272,1.0908728527705844
2021-04-11,1.0271845865210731,1.0967374933605394
2021-04-18,1.030001884989302,1.0997455572476336
2021-04-25,1.0297784188022585,1.099506959678078
2021-05-02,1.0298381325952743,1.0995707168221498
2021-05-09,1.0323740090991576,1.1022783030504053
2021-05-16,1.02959323485738,1.0993092365247308
2021-05-23,1.028724279678781,1.0983814424973233
2021-05-30,1.0311103071786996,1.100929033118998
2021-06-06,1.0326982154237896,1.102624462091803
