,Annualized Return,Sharpe Ratio,Information Ratio,Max Drawdown
CNN_Signal,0.9027621789347315,9.891896870577536,4.017908602918322,-0.020959138826063456
RNN_Signal,0.857358281318807,9.326017561318055,3.623717666394665,-0.02095913882606349
GRU_Signal,0.624833200328931,6.569546403047673,2.5007730373194184,-0.023198415204734008
LSTM_Signal,0.21554087587934356,2.1722738863932087,0.5013459504868635,-0.053995423883802005
