,Date,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
222,2019-04-14,12.010000228881836,2.559999942779541,2.970999956130981,1290.5999755859375,63.88999938964844,1.1260753870010376,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
223,2019-04-21,12.09000015258789,2.559999942779541,2.9590001106262207,1271.9000244140625,64.0,1.129713773727417,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
224,2019-04-28,12.729999542236328,2.505000114440918,2.927000045776367,1284.9000244140625,63.29999923706055,1.113684892654419,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
225,2019-05-05,12.869999885559082,2.5309998989105225,2.9260001182556152,1279.199951171875,61.93999862670898,1.1173559427261353,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
226,2019-05-12,16.040000915527344,2.4549999237060547,2.872999906539917,1285.699951171875,61.65999984741211,1.1222084760665894,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
227,2019-05-19,15.960000038146973,2.3929998874664307,2.8239998817443848,1274.5,62.7599983215332,1.1173559427261353,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
228,2019-05-26,15.850000381469728,2.3239998817443848,2.752000093460083,1283.0,58.630001068115234,1.1184556484222412,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
229,2019-06-02,18.709999084472656,2.1419999599456787,2.5829999446868896,1305.800048828125,53.5,1.1131147146224976,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
230,2019-06-09,16.299999237060547,2.0840001106262207,2.571000099182129,1341.199951171875,53.9900016784668,1.127650022506714,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
231,2019-06-16,15.279999732971191,2.0929999351501465,2.5920000076293945,1340.0999755859375,52.5099983215332,1.128044366836548,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
232,2019-06-23,15.399999618530272,2.068000078201294,2.5920000076293945,1396.199951171875,57.43000030517578,1.1295605897903442,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
233,2019-06-30,15.079999923706056,2.0,2.5280001163482666,1409.699951171875,58.470001220703125,1.1372941732406616,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
234,2019-07-07,13.279999732971191,2.0480000972747803,2.549000024795532,1396.699951171875,57.5099983215332,1.128579020500183,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
235,2019-07-14,12.390000343322754,2.1059999465942383,2.632999897003174,1409.9000244140625,60.209999084472656,1.1252391338348389,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
236,2019-07-21,14.449999809265137,2.0480000972747803,2.578000068664551,1425.0999755859375,55.630001068115234,1.1261515617370603,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
237,2019-07-28,12.15999984741211,2.0810000896453857,2.6010000705718994,1418.5,56.20000076293945,1.1146159172058103,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
238,2019-08-04,17.610000610351562,1.8550000190734863,2.3910000324249268,1445.5999755859375,55.65999984741211,1.1078859567642212,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
239,2019-08-11,17.969999313354492,1.7339999675750732,2.247999906539917,1496.5999755859375,54.5,1.1187183856964111,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
240,2019-08-18,18.46999931335449,1.5390000343322754,2.0,1512.5,54.869998931884766,1.1113580465316772,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
241,2019-08-25,19.8700008392334,1.527999997138977,2.025000095367432,1526.5999755859375,54.16999816894531,1.108401656150818,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
242,2019-09-01,18.979999542236328,1.50600004196167,1.9700000286102293,1519.0999755859375,55.09999847412109,1.1061947345733645,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
