,Date,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts,SP500_Return
0,2015-01-11,1.9709999561309808,2.555999994277954,1216.0,48.36000061035156,1.1796069145202637,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.008403811034715436
1,2015-01-18,1.815000057220459,2.434999942779541,1276.9000244140625,48.68999862670898,1.1637378931045532,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,0.013424199395820402
2,2015-01-25,1.8170000314712524,2.3940000534057617,1292.5999755859375,45.59000015258789,1.1346745491027832,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.005491522439307173
3,2015-02-01,1.6749999523162842,2.250999927520752,1278.5,48.2400016784668,1.13355553150177,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.012991965252009852
4,2015-02-08,1.937999963760376,2.5190000534057617,1233.9000244140625,51.68999862670898,1.147196888923645,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.0034181723141418763
5,2015-02-15,2.0209999084472656,2.625999927520752,1226.5,52.77999877929688,1.140393853187561,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,0.004074738491730789
6,2015-02-22,2.132999897003174,2.734999895095825,1204.4000244140625,50.34000015258789,1.1366735696792605,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,0.006126533626735764
7,2015-03-01,2.002000093460083,2.5999999046325684,1212.5999755859375,49.7599983215332,1.1205360889434814,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.0029563045487578377
8,2015-03-08,2.240000009536743,2.83899998664856,1164.0999755859375,49.61000061035156,1.1032048463821411,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.014173946589881803
9,2015-03-15,2.111999988555908,2.694999933242798,1152.5999755859375,44.84000015258789,1.0626314878463743,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,-0.006074710968194674
10,2015-03-22,1.9299999475479128,2.503999948501587,1184.800048828125,45.720001220703125,1.066894292831421,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,0.00901275466979845
11,2015-03-29,1.9479999542236328,2.5269999504089355,1199.800048828125,48.869998931884766,1.0886367559432983,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0,0.0023685613495147972
12,2015-04-05,1.9040000438690183,2.5239999294281006,1200.9000244140625,49.13999938964844,1.0769942998886108,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,0.0035296669586522
13,2015-04-12,1.950999975204468,2.5829999446868896,1204.5999755859375,51.63999938964844,1.0669056177139282,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,0.005202865037342352
14,2015-04-19,1.850000023841858,2.505000114440918,1202.9000244140625,55.7400016784668,1.0755579471588137,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.011311245518606405
15,2015-04-26,1.9170000553131104,2.617000102996826,1175.199951171875,57.150001525878906,1.0815019607543943,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,0.002252800575326619
16,2015-05-03,2.117000102996826,2.82699990272522,1174.5,59.150001525878906,1.1214659214019775,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,0.010923001659165044
17,2015-05-10,2.150000095367432,2.900000095367432,1189.0999755859375,59.38999938964844,1.1246949434280396,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,0.013457901176364917
18,2015-05-17,2.1410000324249268,2.9230000972747803,1225.5,59.68999862670898,1.1404979228973389,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,0.0007684139066803652
19,2015-05-24,2.2149999141693115,2.986000061035156,1204.300048828125,59.720001220703125,1.1111851930618286,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.002233886303356414
20,2015-05-31,2.095000028610229,2.8469998836517334,1189.4000244140625,60.29999923706055,1.0960345268249512,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.0063184691730722164
21,2015-06-07,2.4019999504089355,3.111000061035156,1167.800048828125,59.130001068115234,1.120787262916565,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.0014361829335245435
22,2015-06-14,2.384999990463257,3.0989999771118164,1178.800048828125,59.959999084472656,1.1240627765655518,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.0069942998817651425
23,2015-06-21,2.2669999599456787,3.055999994277954,1201.5,59.61000061035156,1.1370742321014404,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.0053035017498218595
24,2015-06-28,2.4760000705718994,3.25,1172.9000244140625,59.630001068115234,1.1202975511550903,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0,-0.0003900796440671206
25,2015-07-05,2.3929998874664307,3.191999912261963,1163.0,56.93000030517578,1.103363037109375,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.0003080227407983305
26,2015-07-12,2.4170000553131104,3.2090001106262207,1157.699951171875,52.7400016784668,1.1063048839569092,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,0.012338485100151564
27,2015-07-19,2.3489999771118164,3.0829999446868896,1131.800048828125,50.88999938964844,1.0886012315750122,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,0.001106182994042637
28,2015-07-26,2.2709999084472656,2.970000028610229,1085.5999755859375,48.13999938964844,1.0989010334014893,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.01070332804283558
29,2015-08-02,2.2049999237060547,2.927000045776367,1094.9000244140625,47.119998931884766,1.0939244031906128,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.002271519985995063
30,2015-08-09,2.174999952316284,2.828000068664551,1094.0999755859375,43.869998931884766,1.0927051305770874,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.0028748824444340126
31,2015-08-16,2.196000099182129,2.8410000801086426,1112.9000244140625,42.5,1.1160963773727417,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,0.003911964108786803
32,2015-08-23,2.053999900817871,2.746999979019165,1159.5999755859375,40.45000076293945,1.1236965656280518,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.03185096571863755
33,2015-08-30,2.186000108718872,2.9089999198913574,1133.0999755859375,45.220001220703125,1.1247961521148682,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,0.0006087363616984476
34,2015-09-06,2.128000020980835,2.890000104904175,1120.5999755859375,46.04999923706055,1.1125946044921875,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.015329595723932221
35,2015-09-13,2.183000087738037,2.943000078201294,1103.5,44.630001068115234,1.1290887594223022,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,0.004487043210972708
36,2015-09-20,2.130000114440918,2.928999900817871,1138.0999755859375,44.68000030517578,1.1400948762893677,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.016164165744279924
37,2015-09-27,2.1679999828338623,2.9600000381469727,1146.0,45.70000076293945,1.1178929805755615,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0,-0.00046579328582951884
38,2015-10-04,1.9889999628067017,2.825999975204468,1137.0999755859375,45.540000915527344,1.1193444728851318,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.014315289284541954
39,2015-10-11,2.0989999771118164,2.927000045776367,1156.300048828125,49.630001068115234,1.1286935806274414,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.000725111326717931
40,2015-10-18,2.0230000019073486,2.864000082015991,1183.5999755859375,47.2599983215332,1.1368157863616943,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.004570474275370051
41,2015-10-25,2.0829999446868896,2.8959999084472656,1163.300048828125,44.59999847412109,1.108094573020935,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.011030344539323389
42,2015-11-01,2.151000022888184,2.933000087738037,1141.5,46.59000015258789,1.099384307861328,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,-0.004809877003672414
43,2015-11-08,2.3329999446868896,3.08899998664856,1087.5999755859375,44.290000915527344,1.0883997678756714,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,-0.0003476213457177524
44,2015-11-15,2.2799999713897705,3.058000087738037,1080.800048828125,40.7400016784668,1.0815019607543943,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,-0.011207364706699363
45,2015-11-22,2.26200008392334,3.0179998874664307,1076.4000244140625,40.38999938964844,1.0726161003112793,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.003810195689989637
46,2015-11-29,2.2249999046325684,3.000999927520752,1056.199951171875,41.709999084472656,1.0604453086853027,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.0005936176807606053
47,2015-12-06,2.275000095367432,3.009999990463257,1084.5,39.970001220703125,1.0915957689285278,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,0.0205256690573854
48,2015-12-13,2.138999938964844,2.878999948501587,1076.9000244140625,35.619998931884766,1.0948106050491333,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,-0.019422767297482935
49,2015-12-20,2.1989998817443848,2.9100000858306885,1066.199951171875,34.72999954223633,1.0844104290008545,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,-0.01779722000676376
50,2015-12-27,2.243000030517578,2.96399998664856,1077.199951171875,38.09999847412109,1.0909169912338257,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0,-0.001598636221499028
51,2016-01-03,2.2690000534057617,3.015000104904175,1060.300048828125,37.040000915527344,1.093398094177246,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.0
52,2016-01-10,2.130000114440918,2.9200000762939453,1097.800048828125,33.15999984741211,1.0925976037979126,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,-0.010838374390218508
53,2016-01-17,2.032999992370605,2.812999963760376,1091.5,29.420000076293945,1.085894227027893,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,-0.021599098001850003
54,2016-01-24,2.0480000972747803,2.819999933242798,1097.199951171875,32.189998626708984,1.0862009525299072,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.020283701024494727
55,2016-01-31,1.930999994277954,2.757999897003174,1116.4000244140625,33.619998931884766,1.0936970710754397,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.0247602174153414
56,2016-02-07,1.8480000495910645,2.681999921798706,1157.800048828125,30.88999938964844,1.119996428489685,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,-0.018481246310869337
57,2016-02-14,1.7480000257492063,2.6050000190734863,1239.0999755859375,29.440000534057617,1.1317979097366333,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.019518049565855122
58,2016-02-21,1.7480000257492063,2.6050000190734863,1230.4000244140625,29.63999938964844,1.1110987663269043,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,-2.6032942938902792e-05
59,2016-02-28,1.7619999647140503,2.635999917984009,1219.800048828125,32.779998779296875,1.1024993658065796,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,-0.0018701144822791393
60,2016-03-06,1.883000016212464,2.703000068664551,1269.9000244140625,35.91999816894531,1.094894528388977,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.0033058923144386743
61,2016-03-13,1.976999998092652,2.747999906539917,1258.699951171875,38.5,1.1178430318832395,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.01639550053418848
62,2016-03-20,1.871000051498413,2.6730000972747803,1253.800048828125,39.43999862670898,1.1317979097366333,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,0.004405643688967897
63,2016-03-27,1.899999976158142,2.671999931335449,1221.4000244140625,39.459999084472656,1.118105411529541,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0,-0.0003780702927851376
64,2016-04-03,1.7920000553131104,2.619999885559082,1222.199951171875,36.790000915527344,1.1379671096801758,18711.702,5.1,238.992,183.2,452238.0,98.4669,143856.0,1163.0,0.006330915127309877
65,2016-04-10,1.7200000286102295,2.555999994277954,1242.5,39.720001220703125,1.1373976469039917,18711.702,5.1,238.992,183.2,452238.0,98.4669,143856.0,1163.0,0.0027865779152878023
66,2016-04-17,1.7519999742507937,2.562000036239624,1233.0999755859375,40.36000061035156,1.1270017623901367,18711.702,5.1,238.992,183.2,452238.0,98.4669,143856.0,1163.0,-0.0009842848497145784
