Date,Time,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
1/24/2016,1:20,-0.41092923,-0.12928917,0.005086393,-0.77304155,-0.40417725,0.22439112,-0.9077066,-0.3581113,-0.8324708,-0.8453622,-0.93751633,0.105640955,-0.204444,-0.593714
1/31/2016,2:20,-0.35541025,-0.09625237,-0.12163779,-0.5947008,-0.44605762,0.33113933,-0.78870916,-0.53219515,-0.85626686,-0.8657099,-0.8624696,0.12083813,-0.29817048,-0.6369854
2/7/2016,3:20,-0.41666183,-0.069522396,0.10946198,-0.72799087,-0.5591863,0.17250508,-1.0194265,-0.3924851,-0.73151815,-0.78598166,-1.1296092,0.040487207,-0.16271687,-0.61786383
2/14/2016,4:20,-0.27807853,-0.09913156,0.13212629,-0.65436155,-0.64525694,0.41455314,-0.9450433,-0.14686504,-0.7135454,-0.7118478,-1.1131359,-0.033381663,-0.18420951,-0.5703311
2/21/2016,5:20,-0.3300863,-0.1726198,0.034513444,-0.648457,-0.78450835,0.3036675,-0.91267776,-0.17568873,-0.75553584,-0.9071547,-1.0638568,-0.09409811,-0.41160738,-0.6912033
2/28/2016,6:20,-0.3671466,-0.19312023,-0.09630689,-0.69953775,-0.50364405,0.2765367,-0.86185765,-0.19008656,-0.77404743,-0.8367772,-0.9726955,-0.014598897,-0.33203578,-0.49719474
3/6/2016,7:20,-0.31211677,-0.07362425,0.008490131,-0.4504487,-0.7161048,0.45407274,-0.7488129,-0.22946581,-0.69504654,-0.79139376,-0.86007833,-0.06642345,-0.3115779,-0.73102266
3/13/2016,8:20,-0.32617113,-0.26395428,-0.016393282,-0.5549187,-0.6485442,0.18316835,-0.91689146,-0.0508139,-0.7361398,-0.7659792,-1.0102024,-0.1103832,-0.079181276,-0.48338267
3/20/2016,9:20,-0.38690302,-0.091856495,0.007257597,-0.6517726,-0.70095044,0.30720982,-0.7428938,-0.060695708,-0.76268923,-0.83859324,-0.8022116,0.018267559,-0.31928676,-0.54244107
3/27/2016,10:20,-0.4021128,-0.3946751,-0.008130833,-0.5238662,-0.63272,0.27421868,-0.8533865,-0.004823689,-0.76172894,-0.8860922,-0.88847417,-0.06602026,-0.19418034,-0.577783
4/3/2016,11:20,-0.4537072,-0.22964112,-0.008392154,-0.7018855,-0.6438007,0.31790853,-0.975822,-0.07311036,-0.7083415,-0.8642075,-0.92786837,-0.058120206,-0.28238153,-0.5566922
4/10/2016,12:20,-0.2926807,-0.3799269,-0.22203097,-0.59933156,-0.71156746,0.3210039,-0.8786205,-0.13931356,-0.71892595,-0.7871032,-0.8909617,-0.17778967,-0.3581258,-0.66316795
